LSOA21CD,LSOA21NM,IMD_Rank,LAD22NM,Urban_rural_flag,ICB23NM
W01001595,Monmouthshire 007F,,Monmouthshire,Rural,Unassigned_ICB
W01001599,Monmouthshire 004F,,Monmouthshire,Urban,Unassigned_ICB
