Code,Name,Address 1,Address 2,Address 3,Address 4,Address 5,Postcode,Type,Parent Organisation Code,Parent Organisation Name,,,
RYF38,Ashburton Ambulance Station,7 Eastern Road,Ashburton,,Newton Abbot,Devon,TQ13 7AP,Ambulance station,QJK,NHS Devon Integrated Care Board,,,
RYF14,Axminster Ambulance Station,Chard Street,,,Axminster,Devon,EX13 5DU,Ambulance station,QJK,NHS Devon Integrated Care Board,,,
RYF29,Barnstaple Ambulance Station,Lauder Lane,Roundswell Business Park,,Barnstaple,Devon,EX31 3TA,Ambulance station,QJK,NHS Devon Integrated Care Board,,,
RYF30,Bideford Ambulance Station,Clovelly Road Industrial Estate,,,Bideford,Devon,EX39 3HN,Ambulance station,QJK,NHS Devon Integrated Care Board,,,
RYF39,Brixham Ambulance Station,Penn Meadows,,,Brixham,Devon,TQ5 9PW,Ambulance station,QJK,NHS Devon Integrated Care Board,,,
RYF15,Crediton Ambulance Station,Kiddicott,,,Crediton,Devon,EX17 2AY,Ambulance station,QJK,NHS Devon Integrated Care Board,,,
RYF92,Cullompton Ambulance Station,Willand Road,,,Cullompton,Devon,EX15 1FE,Ambulance station,QJK,NHS Devon Integrated Care Board,,,
RYF40,Dartmouth Ambulance Station,College Way,,,Dartmouth,Devon,TQ6 9SL,Ambulance station,QJK,NHS Devon Integrated Care Board,,,
RYF41,Dawlish Ambulance Station,Oak Hill,,,Dawlish,Devon,EX7 9QZ,Ambulance station,QJK,NHS Devon Integrated Care Board,,,
RYF35,Derriford Ambulance Station,Morlaix Drive,Derriford,,Plymouth,Devon,PL6 5AB,Ambulance station,QJK,NHS Devon Integrated Care Board,,,
RYF17,Exmouth Ambulance Station,Liverton Business Park,,,Exmouth,Devon,EX8 2NR,Ambulance station,QJK,NHS Devon Integrated Care Board,,,
RYF31,Holsworthy Ambulance Station,Well Park,Western Road,,Holsworthy,Devon,EX22 6DH,Ambulance station,QJK,NHS Devon Integrated Care Board,,,
RYF18,Honiton Ambulance Station,Devonshire Road,Heathpark Industrial Estate,,Honiton,Devon,EX14 1SD,Ambulance station,QJK,NHS Devon Integrated Care Board,,,
RYF32,Ilfracombe Ambulance Station,Marlborough Road,,,Ilfracombe,Devon,EX34 8JL,Ambulance station,QJK,NHS Devon Integrated Care Board,,,
RYF36,Kingsbridge Ambulance Station,Plymouth Road,,,Kingsbridge,Devon,TQ7 1AT,Ambulance station,QJK,NHS Devon Integrated Care Board,,,
RYF42,Newton Abbot Ambulance Station,The Avenue,,,Newton Abbot,Devon,TQ12 2DR,Ambulance station,QJK,NHS Devon Integrated Care Board,,,
RYF88,Okehampton Ambulance Station,Unit 1,Hameldown Road,Hameldown Business Park,Okehampton,Devon,EX20 1FL,Ambulance station,QJK,NHS Devon Integrated Care Board,,,
RYF34,South Molton Ambulance Station,Widgery Drive,,,South Molton,Devon,EX36 4DP,Ambulance station,QJK,NHS Devon Integrated Care Board,,,
RYF37,Tavistock Ambulance Station,Abbey Rise,,,Tavistock,Devon,PL19 9FD,Ambulance station,QJK,NHS Devon Integrated Care Board,,,
RYF21,Tiverton Ambulance Station,Hill Crest,,,Tiverton,Devon,EX16 6AT,Ambulance station,QJK,NHS Devon Integrated Care Board,,,
RA9TA,Torbay Ambulance Station,Torbay Hospital,Lawes Bridge,Newton Road,Torquay,Devon,TQ2 7BP,Ambulance station,QJK,NHS Devon Integrated Care Board,,,
RYF28,Torquay Ambulance Station,Lawes Bridge,Newton Road,,Torquay,Devon,TQ2 7BP,Ambulance station,QJK,NHS Devon Integrated Care Board,,,
RYF44,Totnes Ambulance Station,Coronation Road,,,Totnes,Devon,TQ9 5DF,Ambulance station,QJK,NHS Devon Integrated Care Board,,,
RYF02,Blandford Ambulance Station,Sunrise Business Park,Higher Shaftesbury Road,,Blandford Forum,Dorset,DT11 8ST,Ambulance station,QVV,NHS Dorset Integrated Care Board,,,
RYF01,Bournemouth Ambulance Station,42 Portchester Road,,,Bournemouth,Dorset,BH8 8LE,Ambulance station,QVV,NHS Dorset Integrated Care Board,,,
RYF12,Bridport Ambulance Station,Unit 2A,Gore Cross Business Park,Bradpole,Bridport,Dorset,DT6 3UX,Ambulance station,QVV,NHS Dorset Integrated Care Board,,,
RYF03,Christchurch Ambulance Station,Bingham Road,,,Christchurch,Dorset,BH23 3AH,Ambulance station,QVV,NHS Dorset Integrated Care Board,,,
RYF04,Dorchester Ambulance Station,Lubbecke Way,,,Dorchester,Dorset,DT1 1QL,Ambulance station,QVV,NHS Dorset Integrated Care Board,,,
RYF05,Poole Ambulance Station,The Concept Centre,Off Yarrow Road,Tower Park,Poole,Dorset,BH12 4QA,Ambulance station,QVV,NHS Dorset Integrated Care Board,,,
RYF06,Shaftesbury Ambulance Station,37 Bimport,,,Shaftesbury,Dorset,SP7 8AX,Ambulance station,QVV,NHS Dorset Integrated Care Board,,,
RYF07,Sherbourne Ambulance Station,Coldharbour,,,Sherborne,Dorset,DT9 4JN,Ambulance station,QVV,NHS Dorset Integrated Care Board,,,
RYF08,Swanage Ambulance Station,28 Queens Road,,,Swanage,Dorset,BH19 2ER,Ambulance station,QVV,NHS Dorset Integrated Care Board,,,
RYF09,Wareham Ambulance Station,Streche Road,,,Wareham,Dorset,BH20 4PG,Ambulance station,QVV,NHS Dorset Integrated Care Board,,,
RYF11,Weymouth Ambulance Station,"Unit 1A, Souter Way",Mount Pleasant Business Park,Dorchester Road,Weymouth,Dorset,DT3 5BJ,Ambulance station,QVV,NHS Dorset Integrated Care Board,,,
