lsoa_code,lsoa_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
E01014377,Bath and North East Somerset 010E,9,15,8,11,10,13,18,19,20,27,27,23,18,17,18,18,19,18,4,12,3,8,11,16,14,9,7,5,4,9,11,3,3,19,13,8,14,17,13,12,21,22,22,23,18,22,20,18,22,28,24,22,18,22,23,16,25,15,12,14,19,27,22,22,21,21,13,27,14,18,17,13,22,19,20,15,12,16,15,14,18,24,12,13,16,19,9,16,10,9
E01014380,Bath and North East Somerset 012A,9,7,8,20,7,9,14,12,17,20,19,24,13,18,21,25,18,15,1004,1364,313,64,40,34,20,20,9,7,7,6,16,12,6,11,13,10,11,10,18,8,21,17,14,22,16,9,16,15,15,16,27,29,16,12,30,24,24,20,12,17,16,19,25,18,15,22,16,23,31,21,19,29,25,24,19,16,19,18,16,11,16,12,7,19,16,11,12,8,5,5
E01014381,Bath and North East Somerset 012B,10,5,12,9,9,11,15,9,15,9,12,15,10,20,18,23,14,13,10,17,16,22,36,34,23,29,20,18,12,15,16,7,14,18,12,10,7,13,12,20,17,18,19,11,16,17,15,17,15,22,17,17,18,12,24,18,27,14,30,17,29,17,27,19,20,14,14,23,16,22,13,9,27,20,13,20,19,15,17,16,15,12,12,16,13,9,12,8,8,8
E01014382,Bath and North East Somerset 021A,19,35,22,18,29,24,32,27,31,37,34,23,34,32,33,33,21,32,26,17,21,16,31,13,25,17,15,17,12,9,19,16,16,16,19,21,19,37,27,24,29,37,31,28,27,36,33,38,42,43,34,38,46,32,23,40,41,48,44,42,40,28,30,38,33,33,34,27,16,36,31,28,33,46,33,35,39,32,27,28,15,19,24,13,23,16,18,9,12,7
E01014383,Bath and North East Somerset 021B,12,8,17,12,11,18,13,15,18,9,19,11,12,10,16,10,9,11,13,13,7,10,9,8,3,4,13,8,8,11,5,13,10,5,6,12,16,13,15,26,17,12,10,25,11,7,28,15,17,21,18,25,15,15,13,19,12,14,17,17,17,13,15,16,17,17,14,13,19,8,16,17,13,13,28,13,11,25,12,9,13,8,3,5,6,9,4,3,3,6
E01014384,Bath and North East Somerset 021C,12,16,19,19,13,25,24,24,24,14,26,19,28,26,26,29,22,28,20,10,15,8,16,6,15,14,16,8,16,5,15,17,10,11,21,22,17,12,21,23,25,16,23,16,18,22,21,23,23,31,19,16,24,23,29,26,22,40,38,25,33,21,14,27,20,17,21,5,14,12,14,19,23,11,18,13,17,17,13,9,13,11,9,13,3,6,9,8,5,6
E01014385,Bath and North East Somerset 020A,7,12,20,10,21,12,15,10,13,15,22,14,18,28,18,16,18,14,17,7,9,10,14,14,14,8,11,11,10,8,9,18,17,19,10,18,22,22,13,15,23,13,8,11,12,14,13,17,20,21,22,30,24,31,23,25,27,33,16,34,28,28,27,16,15,24,21,12,17,18,25,13,12,20,20,18,19,25,11,5,10,9,8,8,8,4,4,4,8,7
E01014386,Bath and North East Somerset 020B,11,16,15,14,16,20,22,12,16,22,17,8,17,16,14,25,14,8,21,6,10,12,6,3,10,12,12,16,13,14,7,7,9,22,13,13,12,10,24,17,18,17,12,22,10,18,20,17,20,20,25,11,14,11,14,19,17,15,22,19,10,14,17,16,17,9,16,19,9,12,9,17,15,15,11,13,16,9,8,5,11,5,7,4,7,3,5,4,6,3
E01014387,Bath and North East Somerset 018A,18,26,18,25,21,21,24,16,21,19,29,27,19,27,17,24,17,17,15,38,46,36,26,27,29,23,17,20,20,27,27,25,18,21,26,20,34,17,23,19,21,31,27,23,18,25,28,16,10,25,20,22,20,15,17,27,20,16,18,19,17,18,10,17,19,23,15,7,9,15,14,9,14,10,10,14,9,10,8,5,6,10,6,9,6,3,3,8,5,4
E01014388,Bath and North East Somerset 018B,4,9,9,13,5,21,4,11,9,17,15,31,24,21,24,15,17,20,10,10,15,10,12,23,11,16,4,9,7,3,11,12,7,9,5,7,13,11,5,7,16,12,11,16,13,4,16,6,18,15,28,18,21,20,29,33,19,24,15,16,14,24,16,17,23,13,13,13,24,16,14,19,26,22,23,17,18,12,9,14,13,10,7,9,7,7,6,9,9,10
E01014389,Bath and North East Somerset 018C,28,17,23,31,19,27,24,24,18,26,28,35,31,28,17,22,17,28,13,27,27,32,53,31,27,27,16,21,30,14,21,16,16,23,16,25,24,30,22,20,22,36,22,27,32,18,15,26,25,28,30,26,14,20,28,20,21,24,18,21,13,16,22,17,26,24,27,24,18,15,26,19,18,16,16,26,16,27,13,10,10,13,14,10,6,8,4,1,14,4
