lsoa_code,lsoa_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
E01014372,Bath and North East Somerset 007C,9.19,16.34,4.08,7.15,3.06,3.06,6.13,4.08,6.13,2.04,8.17,8.17,13.27,7.15,7.15,8.17,11.23,16.34,13.27,39.82,60.25,72.5,84.76,79.65,60.25,60.25,53.1,54.12,55.14,49.02,37.78,42.89,30.63,37.78,30.63,32.68,28.59,17.36,25.53,23.49,17.36,17.36,18.38,16.34,27.57,25.53,22.47,12.25,26.55,20.42,15.32,22.47,23.49,29.61,17.36,22.47,35.74,25.53,23.49,19.4,16.34,26.55,9.19,12.25,10.21,17.36,16.34,19.4,20.42,15.32,20.42,11.23,16.34,13.27,14.3,14.3,17.36,6.13,7.15,9.19,8.17,2.04,8.17,2.04,5.11,6.13,3.06,3.06,4.08,1.02
E01014373,Bath and North East Somerset 010A,13.27,15.32,13.27,19.4,25.53,27.57,24.51,25.53,30.63,21.44,18.38,14.3,23.49,29.61,20.42,20.42,23.49,24.51,22.47,11.23,12.25,11.23,20.42,16.34,14.3,12.25,15.32,26.55,15.32,28.59,13.27,21.44,23.49,22.47,19.4,21.44,17.36,19.4,19.4,17.36,26.55,24.51,31.66,27.57,22.47,23.49,30.63,17.36,25.53,42.89,33.7,14.3,18.38,19.4,27.57,20.42,30.63,31.66,22.47,22.47,21.44,13.27,12.25,20.42,24.51,14.3,12.25,13.27,15.32,18.38,8.17,10.21,12.25,14.3,11.23,11.23,12.25,9.19,6.13,12.25,5.11,10.21,5.11,6.13,4.08,5.11,5.11,0.0,3.06,4.08
E01014374,Bath and North East Somerset 010B,13.27,14.3,12.25,14.3,14.3,16.34,19.4,19.4,20.42,27.57,24.51,21.44,21.44,18.38,26.55,20.42,17.36,26.55,23.49,9.19,13.27,7.15,10.21,14.3,13.27,7.15,5.11,12.25,14.3,16.34,11.23,7.15,8.17,10.21,12.25,21.44,20.42,17.36,25.53,19.4,15.32,21.44,17.36,21.44,18.38,19.4,21.44,22.47,24.51,27.57,30.63,24.51,22.47,25.53,32.68,25.53,22.47,25.53,17.36,17.36,19.4,17.36,12.25,23.49,13.27,23.49,18.38,16.34,18.38,27.57,17.36,19.4,21.44,18.38,17.36,9.19,11.23,16.34,13.27,12.25,10.21,15.32,14.3,15.32,11.23,10.21,8.17,11.23,4.08,6.13
E01014375,Bath and North East Somerset 010C,12.25,4.08,10.21,10.21,13.27,18.38,7.15,15.32,9.19,22.47,23.49,12.25,14.3,12.25,14.3,9.19,11.23,13.27,15.32,6.13,3.06,15.32,12.25,14.3,5.11,3.06,6.13,3.06,12.25,8.17,8.17,9.19,10.21,9.19,8.17,10.21,14.3,11.23,10.21,19.4,12.25,16.34,19.4,12.25,11.23,13.27,14.3,14.3,23.49,19.4,15.32,16.34,24.51,19.4,28.59,27.57,27.57,30.63,17.36,34.72,27.57,18.38,24.51,22.47,17.36,27.57,18.38,19.4,18.38,20.42,11.23,14.3,20.42,21.44,24.51,15.32,19.4,14.3,10.21,19.4,10.21,7.15,12.25,11.23,7.15,6.13,1.02,4.08,3.06,3.06
E01014376,Bath and North East Somerset 010D,9.19,8.17,9.19,12.25,18.38,19.4,17.36,21.44,17.36,19.4,15.32,23.49,26.55,22.47,15.32,21.44,13.27,13.27,24.51,5.11,8.17,6.13,8.17,13.27,14.3,12.25,14.3,11.23,12.25,11.23,12.25,12.25,7.15,12.25,7.15,17.36,9.19,8.17,9.19,15.32,24.51,18.38,11.23,17.36,18.38,26.55,18.38,18.38,27.57,18.38,21.44,24.51,33.7,20.42,31.66,26.55,28.59,14.3,28.59,19.4,27.57,21.44,23.49,26.55,23.49,24.51,18.38,18.38,29.61,24.51,22.47,20.42,28.59,22.47,23.49,15.32,27.57,21.44,16.34,19.4,12.25,17.36,18.38,12.25,20.42,19.4,4.08,8.17,5.11,8.17
E01014377,Bath and North East Somerset 010E,9.19,15.32,8.17,11.23,10.21,13.27,18.38,19.4,20.42,27.57,27.57,23.49,18.38,17.36,18.38,18.38,19.4,18.38,4.08,12.25,3.06,8.17,11.23,16.34,14.3,9.19,7.15,5.11,4.08,9.19,11.23,3.06,3.06,19.4,13.27,8.17,14.3,17.36,13.27,12.25,21.44,22.47,22.47,23.49,18.38,22.47,20.42,18.38,22.47,28.59,24.51,22.47,18.38,22.47,23.49,16.34,25.53,15.32,12.25,14.3,19.4,27.57,22.47,22.47,21.44,21.44,13.27,27.57,14.3,18.38,17.36,13.27,22.47,19.4,20.42,15.32,12.25,16.34,15.32,14.3,18.38,24.51,12.25,13.27,16.34,19.4,9.19,16.34,10.21,9.19
E01014380,Bath and North East Somerset 012A,9.19,7.15,8.17,20.42,7.15,9.19,14.3,12.25,17.36,20.42,19.4,24.51,13.27,18.38,21.44,25.53,18.38,15.32,1025.23,1392.84,319.62,65.35,40.85,34.72,20.42,20.42,9.19,7.15,7.15,6.13,16.34,12.25,6.13,11.23,13.27,10.21,11.23,10.21,18.38,8.17,21.44,17.36,14.3,22.47,16.34,9.19,16.34,15.32,15.32,16.34,27.57,29.61,16.34,12.25,30.63,24.51,24.51,20.42,12.25,17.36,16.34,19.4,25.53,18.38,15.32,22.47,16.34,23.49,31.66,21.44,19.4,29.61,25.53,24.51,19.4,16.34,19.4,18.38,16.34,11.23,16.34,12.25,7.15,19.4,16.34,11.23,12.25,8.17,5.11,5.11
E01014381,Bath and North East Somerset 012B,10.21,5.11,12.25,9.19,9.19,11.23,15.32,9.19,15.32,9.19,12.25,15.32,10.21,20.42,18.38,23.49,14.3,13.27,10.21,17.36,16.34,22.47,36.76,34.72,23.49,29.61,20.42,18.38,12.25,15.32,16.34,7.15,14.3,18.38,12.25,10.21,7.15,13.27,12.25,20.42,17.36,18.38,19.4,11.23,16.34,17.36,15.32,17.36,15.32,22.47,17.36,17.36,18.38,12.25,24.51,18.38,27.57,14.3,30.63,17.36,29.61,17.36,27.57,19.4,20.42,14.3,14.3,23.49,16.34,22.47,13.27,9.19,27.57,20.42,13.27,20.42,19.4,15.32,17.36,16.34,15.32,12.25,12.25,16.34,13.27,9.19,12.25,8.17,8.17,8.17
E01014382,Bath and North East Somerset 021A,19.4,35.74,22.47,18.38,29.61,24.51,32.68,27.57,31.66,37.78,34.72,23.49,34.72,32.68,33.7,33.7,21.44,32.68,26.55,17.36,21.44,16.34,31.66,13.27,25.53,17.36,15.32,17.36,12.25,9.19,19.4,16.34,16.34,16.34,19.4,21.44,19.4,37.78,27.57,24.51,29.61,37.78,31.66,28.59,27.57,36.76,33.7,38.8,42.89,43.91,34.72,38.8,46.97,32.68,23.49,40.85,41.87,49.02,44.93,42.89,40.85,28.59,30.63,38.8,33.7,33.7,34.72,27.57,16.34,36.76,31.66,28.59,33.7,46.97,33.7,35.74,39.82,32.68,27.57,28.59,15.32,19.4,24.51,13.27,23.49,16.34,18.38,9.19,12.25,7.15
E01014383,Bath and North East Somerset 021B,12.25,8.17,17.36,12.25,11.23,18.38,13.27,15.32,18.38,9.19,19.4,11.23,12.25,10.21,16.34,10.21,9.19,11.23,13.27,13.27,7.15,10.21,9.19,8.17,3.06,4.08,13.27,8.17,8.17,11.23,5.11,13.27,10.21,5.11,6.13,12.25,16.34,13.27,15.32,26.55,17.36,12.25,10.21,25.53,11.23,7.15,28.59,15.32,17.36,21.44,18.38,25.53,15.32,15.32,13.27,19.4,12.25,14.3,17.36,17.36,17.36,13.27,15.32,16.34,17.36,17.36,14.3,13.27,19.4,8.17,16.34,17.36,13.27,13.27,28.59,13.27,11.23,25.53,12.25,9.19,13.27,8.17,3.06,5.11,6.13,9.19,4.08,3.06,3.06,6.13
