lsoa_code,lsoa_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
E01014377,Bath and North East Somerset 010E,3,7,2,5,4,3,6,11,13,13,9,6,12,9,12,12,9,8,1,6,1,3,6,8,6,6,3,1,3,7,6,1,2,14,7,7,9,7,3,5,11,13,10,11,8,12,9,10,9,20,14,9,8,10,11,7,15,7,8,6,12,12,10,12,12,12,5,13,6,11,7,9,12,8,13,7,7,7,10,8,11,10,7,9,7,9,5,8,5,7
E01014380,Bath and North East Somerset 012A,5,4,5,6,5,6,8,3,5,11,10,13,7,12,8,8,8,5,464,643,138,31,16,20,8,10,6,6,5,3,9,4,4,7,7,3,7,9,11,4,18,11,5,9,6,6,10,8,10,7,17,16,10,7,11,16,14,11,4,9,10,9,12,9,9,14,8,11,16,9,12,15,13,11,6,8,10,16,5,6,11,7,2,14,9,8,6,6,3,4
E01014381,Bath and North East Somerset 012B,7,4,3,3,6,6,12,4,6,6,6,6,0,8,8,16,4,7,4,5,6,12,17,10,11,7,15,7,2,8,7,5,5,11,6,2,6,9,6,7,8,9,10,6,5,11,8,11,5,11,10,7,5,8,10,11,16,5,15,9,15,13,13,8,9,6,7,14,9,8,8,4,11,10,8,9,10,6,10,8,8,10,8,10,5,5,9,6,6,5
E01014382,Bath and North East Somerset 021A,9,21,14,8,18,9,16,15,17,24,15,15,17,21,17,15,13,16,8,8,13,6,13,7,9,5,11,9,7,5,9,7,9,7,10,10,10,19,19,8,11,19,18,13,13,20,14,24,23,20,20,15,23,21,12,23,21,25,14,23,17,17,17,22,18,16,17,13,5,19,17,15,20,25,15,15,17,17,12,15,7,8,14,7,16,11,11,2,4,3
E01014383,Bath and North East Somerset 021B,4,5,6,3,10,9,8,6,9,6,10,5,8,6,11,6,3,6,6,7,6,6,5,4,3,1,6,1,5,6,2,6,6,3,3,6,11,9,9,12,11,7,6,12,4,2,16,3,11,16,11,12,7,9,7,8,5,8,6,6,9,6,7,9,11,9,8,5,11,5,9,8,7,4,13,4,6,12,4,6,6,3,0,3,6,5,2,0,1,5
E01014384,Bath and North East Somerset 021C,4,10,8,9,9,14,9,8,11,7,17,9,13,8,10,14,10,14,10,4,7,2,7,5,7,9,6,2,11,3,4,9,5,7,13,15,9,7,10,10,13,6,13,10,9,9,13,10,11,15,11,6,14,15,16,11,8,17,21,13,16,13,8,14,9,11,10,4,3,7,5,9,9,5,8,5,8,9,6,5,9,6,6,7,2,3,6,4,4,4
E01014385,Bath and North East Somerset 020A,3,4,12,5,8,4,4,7,5,8,9,5,13,11,10,7,11,8,9,5,2,4,7,7,6,3,4,7,7,5,4,8,11,10,6,8,11,15,5,8,12,6,2,4,7,11,6,8,10,8,12,17,17,18,9,13,11,12,10,16,15,15,12,8,8,14,12,3,9,6,15,8,4,10,10,11,10,13,4,4,2,5,5,5,3,3,4,3,4,6
E01014386,Bath and North East Somerset 020B,3,5,3,7,8,12,10,6,7,10,9,3,7,3,7,10,7,3,9,4,7,6,5,1,3,5,6,6,7,7,2,2,3,12,8,6,7,4,15,7,9,9,5,16,4,10,11,9,11,6,12,8,7,5,10,11,6,5,15,9,6,8,7,5,6,5,10,12,6,7,5,9,6,5,6,8,10,7,3,3,3,2,5,1,3,0,2,2,4,3
E01014387,Bath and North East Somerset 018A,8,8,5,10,12,12,10,9,14,8,12,12,9,12,5,11,9,9,9,17,21,14,10,11,7,13,4,12,8,15,14,15,10,11,12,7,19,9,17,9,11,15,18,11,12,11,13,11,7,10,13,12,9,9,8,14,11,9,11,11,6,12,3,5,12,8,8,3,2,12,5,3,8,4,5,9,8,4,8,1,3,5,5,5,3,3,2,7,2,3
E01014388,Bath and North East Somerset 018B,3,4,2,7,3,16,2,8,4,7,7,12,9,10,10,8,9,8,3,3,4,4,6,9,7,6,2,6,4,2,3,8,1,4,4,6,6,5,4,2,8,10,5,10,6,2,7,2,7,8,17,9,13,17,11,20,12,14,4,9,10,16,11,8,16,5,4,6,13,6,7,11,16,14,11,7,11,5,6,12,9,1,5,3,4,5,3,7,6,8
E01014389,Bath and North East Somerset 018C,9,11,9,13,9,14,17,11,7,11,17,12,16,14,7,9,7,9,8,13,12,17,21,14,15,17,8,6,17,7,10,12,6,15,11,8,15,16,15,12,11,17,13,15,19,8,9,17,9,16,17,15,6,15,15,13,7,12,11,12,10,7,15,10,14,13,16,11,10,5,10,13,10,7,8,19,8,17,6,6,7,8,8,2,4,7,1,1,12,4
E01014390,Bath and North East Somerset 018D,8,16,16,10,13,11,19,8,10,7,9,10,14,8,9,6,5,9,6,13,7,7,11,7,11,6,13,22,11,12,13,12,17,12,10,14,6,12,6,10,9,7,7,6,12,14,6,9,5,11,17,16,7,10,13,10,5,10,11,7,5,10,8,4,6,2,6,9,6,6,3,9,2,4,1,10,2,1,3,6,5,1,2,1,5,1,2,0,1,0
E01014391,Bath and North East Somerset 016A,8,3,3,14,10,8,9,11,13,12,12,10,4,5,6,7,8,7,5,3,9,7,4,2,2,8,9,8,6,10,11,15,10,10,13,4,16,12,8,14,15,9,14,10,3,7,14,8,9,12,15,9,9,9,15,13,15,17,18,10,17,18,14,17,11,23,14,12,9,17,4,12,9,15,11,9,8,12,10,9,7,8,10,8,6,3,2,4,1,2
