LSOA21CD,LSOA21NM,IMD_Rank,LAD22NM,Urban_rural_flag,ICB23NM,lsoa21cd,lsoa21nm,msoa21cd,msoa21nm,ladcd,ladnm
W01001595,Monmouthshire 007F,,Monmouthshire,Rural,Unassigned_ICB,W01001595,Monmouthshire 007F,W02000342,Monmouthshire 007,W06000021,Monmouthshire
W01001599,Monmouthshire 004F,,Monmouthshire,Urban,Unassigned_ICB,W01001599,Monmouthshire 004F,W02000339,Monmouthshire 004,W06000021,Monmouthshire
