LSOA21CD,LSOA21NM,IMD_Rank,LAD22NM,Urban_rural_flag,ICB23NM,lsoa21cd,lsoa21nm,msoa21cd,msoa21nm,ladcd,ladnm,total_population,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_plus
W01001595,Monmouthshire 007F,,Monmouthshire,Rural,Unassigned_ICB,W01001595,Monmouthshire 007F,W02000342,Monmouthshire 007,W06000021,Monmouthshire,,,,,,,,,,,,,,,,,,,
W01001599,Monmouthshire 004F,,Monmouthshire,Urban,Unassigned_ICB,W01001599,Monmouthshire 004F,W02000339,Monmouthshire 004,W06000021,Monmouthshire,,,,,,,,,,,,,,,,,,,
